plate_pair,plate,well,ecotype,site,seed_family,cold_stratification,water_potential,num_germinated_seeds,num_tz_category1,num_tz_category2,num_tz_category3,num_tz_category4
10,10_A,10_A_C,Semelparous,S1,S1_11,Cold stratified,0,10,0,0,0,0
10,10_A,10_A_E,Semelparous,S3,S3_7,Not cold stratified,-1,0,8,0,0,0
10,10_A,10_A_F,Iteroparous,I2,I2_4,Not cold stratified,-1,1,2,0,0,4
10,10_B,10_B_A,Iteroparous,I3,I3_13,Cold stratified,-1,0,0,0,0,8
10,10_B,10_B_C,Iteroparous,I1,I1_19,Not cold stratified,-1,0,9,0,0,0
10,10_B,10_B_F,Semelparous,S2,S2_9,Not cold stratified,0,1,7,2,0,0
11,11_A,11_A_B,Semelparous,S1,S1_15,Cold stratified,-0.5,8,0,0,0,2
11,11_A,11_A_C,Iteroparous,I1,I1_4,Not cold stratified,-1,0,9,0,0,1
11,11_A,11_A_F,Semelparous,S3,S3_4,Cold stratified,-1,0,2,6,0,0
11,11_B,11_B_C,Iteroparous,I3,I3_10,Not cold stratified,-1,0,9,0,0,1
11,11_B,11_B_D,Iteroparous,I2,I2_1,Cold stratified,-1,0,9,0,0,1
11,11_B,11_B_E,Semelparous,S2,S2_8,Not cold stratified,-1,0,9,0,0,0
12,12_A,12_A_A,Semelparous,S3,S3_13,Cold stratified,-1,0,2,8,0,0
12,12_A,12_A_D,Iteroparous,I2,I2_11,Cold stratified,-0.5,3,0,0,0,2
12,12_B,12_B_C,Iteroparous,I3,I3_1,Not cold stratified,-1,0,5,2,0,0
12,12_B,12_B_D,Semelparous,S2,S2_10,Cold stratified,-1,0,1,7,1,1
12,12_B,12_B_E,Iteroparous,I1,I1_16,Cold stratified,-0.5,0,3,0,1,4
12,12_B,12_B_F,Semelparous,S1,S1_29,Cold stratified,-0.5,1,0,0,0,7
13,13_A,13_A_B,Iteroparous,I1,I1_14,Not cold stratified,-1,1,9,0,0,0
13,13_A,13_A_F,Iteroparous,I3,I3_19,Not cold stratified,-1,0,10,0,0,0
13,13_B,13_B_A,Semelparous,S1,S1_16,Not cold stratified,-1,0,0,0,0,0
13,13_B,13_B_B,Semelparous,S2,S2_4,Cold stratified,-1,0,0,10,0,0
13,13_B,13_B_D,Semelparous,S3,S3_20,Cold stratified,-1,0,8,0,0,0
13,13_B,13_B_E,Iteroparous,I2,I2_7,Not cold stratified,-1,3,6,0,0,0
14,14_A,14_A_A,Semelparous,S1,S1_10,Cold stratified,-1,0,3,0,0,5
14,14_B,14_B_A,Iteroparous,I1,I1_12,Cold stratified,0,7,0,0,0,0
14,14_B,14_B_B,Iteroparous,I3,I3_14,Cold stratified,-1,0,9,0,0,0
14,14_B,14_B_C,Semelparous,S3,S3_11,Cold stratified,0,2,0,5,1,1
14,14_B,14_B_D,Iteroparous,I2,I2_9,Not cold stratified,-1,3,5,0,0,0
14,14_B,14_B_E,Semelparous,S2,S2_5,Not cold stratified,0,3,5,0,0,2
15,15_A,15_A_A,Semelparous,S1,S1_12,Not cold stratified,-0.5,5,1,0,0,4
15,15_A,15_A_B,Semelparous,S2,S2_4,Not cold stratified,-0.5,0,8,1,0,1
15,15_A,15_A_C,Iteroparous,I3,I3_19,Cold stratified,-1,0,4,5,0,0
15,15_A,15_A_D,Iteroparous,I2,I2_7,Cold stratified,-0.5,9,0,0,0,1
15,15_B,15_B_E,Iteroparous,I1,I1_20,Not cold stratified,-0.5,2,4,0,0,0
15,15_B,15_B_F,Semelparous,S3,S3_14,Cold stratified,-1,0,1,1,4,0
16,16_A,16_A_D,Iteroparous,I3,I3_5,Cold stratified,0,3,2,0,0,0
16,16_A,16_A_E,Semelparous,S1,S1_16,Cold stratified,0,7,0,0,0,1
16,16_A,16_A_F,Semelparous,S3,S3_11,Cold stratified,-1,0,10,0,0,0
16,16_B,16_B_A,Semelparous,S2,S2_10,Cold stratified,0,8,0,0,1,1
16,16_B,16_B_B,Iteroparous,I1,I1_4,Cold stratified,-0.5,1,6,0,0,2
16,16_B,16_B_C,Iteroparous,I2,I2_13,Cold stratified,-0.5,4,6,0,0,1
17,17_A,17_A_B,Semelparous,S3,S3_11,Not cold stratified,-0.5,0,7,3,0,0
17,17_A,17_A_D,Semelparous,S1,S1_29,Not cold stratified,-1,0,5,0,0,3
17,17_A,17_A_E,Iteroparous,I1,I1_18,Not cold stratified,0,10,0,0,0,0
17,17_B,17_B_A,Semelparous,S2,S2_1,Cold stratified,-0.5,5,4,0,0,1
17,17_B,17_B_D,Iteroparous,I2,I2_12,Cold stratified,-1,0,8,0,0,1
17,17_B,17_B_E,Iteroparous,I3,I3_1,Not cold stratified,0,9,2,0,0,0
18,18_A,18_A_A,Iteroparous,I2,I2_4,Cold stratified,-0.5,10,0,0,0,0
18,18_A,18_A_C,Semelparous,S2,S2_7,Not cold stratified,0,0,7,3,0,0
18,18_A,18_A_D,Semelparous,S1,S1_16,Not cold stratified,-0.5,9,0,0,0,0
18,18_A,18_A_E,Iteroparous,I1,I1_6,Not cold stratified,-0.5,10,0,0,0,0
18,18_B,18_B_C,Semelparous,S3,S3_13,Cold stratified,0,10,0,0,0,0
18,18_B,18_B_D,Iteroparous,I3,I3_10,Not cold stratified,0,8,1,0,0,1
19,19_A,19_A_B,Semelparous,S3,S3_4,Cold stratified,-0.5,3,4,2,0,1
19,19_A,19_A_D,Iteroparous,I1,I1_16,Cold stratified,-1,0,7,0,0,2
19,19_A,19_A_F,Iteroparous,I3,I3_1,Not cold stratified,-0.5,7,2,0,0,0
19,19_B,19_B_C,Semelparous,S1,S1_12,Cold stratified,0,3,0,0,0,4
19,19_B,19_B_D,Iteroparous,I2,I2_1,Cold stratified,-0.5,9,0,0,0,1
19,19_B,19_B_E,Semelparous,S2,S2_8,Not cold stratified,-0.5,0,9,1,0,0
1,1_A,1_A_B,Iteroparous,I3,I3_15,Cold stratified,0,0,0,1,0,5
1,1_A,1_A_E,Iteroparous,I1,I1_2,Not cold stratified,-1,1,8,0,0,1
1,1_B,1_B_A,Semelparous,S1,S1_28,Not cold stratified,0,8,0,0,1,0
1,1_B,1_B_D,Semelparous,S2,S2_9,Cold stratified,-1,0,10,0,0,1
1,1_B,1_B_E,Semelparous,S3,S3_6,Not cold stratified,0,0,9,0,0,1
1,1_B,1_B_F,Iteroparous,I2,I2_5,Not cold stratified,0,9,0,0,0,1
20,20_A,20_A_A,Semelparous,S1,S1_28,Not cold stratified,-0.5,2,7,0,0,0
20,20_A,20_A_C,Iteroparous,I1,I1_2,Not cold stratified,0,10,0,0,0,0
20,20_A,20_A_D,Iteroparous,I2,I2_9,Not cold stratified,0,7,0,0,0,2
20,20_B,20_B_A,Semelparous,S2,S2_2,Cold stratified,-0.5,0,5,2,3,0
20,20_B,20_B_D,Iteroparous,I3,I3_1,Cold stratified,0,6,0,1,0,3
20,20_B,20_B_E,Semelparous,S3,S3_11,Cold stratified,-0.5,0,5,4,1,0
21,21_A,21_A_D,Iteroparous,I1,I1_16,Not cold stratified,0,7,0,0,0,3
21,21_A,21_A_E,Semelparous,S3,S3_14,Not cold stratified,0,1,6,1,0,0
21,21_A,21_A_F,Semelparous,S2,S2_4,Cold stratified,-0.5,4,7,0,0,0
21,21_B,21_B_A,Iteroparous,I3,I3_16,Cold stratified,0,6,2,0,0,2
21,21_B,21_B_D,Semelparous,S1,S1_29,Cold stratified,0,2,0,0,0,3
21,21_B,21_B_E,Iteroparous,I2,I2_1,Not cold stratified,-1,6,4,0,0,0
22,22_A,22_A_B,Semelparous,S3,S3_7,Cold stratified,-0.5,4,1,5,0,0
22,22_A,22_A_C,Iteroparous,I2,I2_9,Not cold stratified,-0.5,9,0,0,0,0
22,22_B,22_B_A,Semelparous,S1,S1_15,Not cold stratified,0,8,0,0,0,2
22,22_B,22_B_B,Iteroparous,I3,I3_15,Not cold stratified,-0.5,0,6,1,0,1
22,22_B,22_B_E,Iteroparous,I1,I1_2,Cold stratified,-1,0,9,0,0,1
22,22_B,22_B_F,Semelparous,S2,S2_9,Cold stratified,-0.5,7,1,0,0,0
23,23_A,23_A_B,Semelparous,S3,S3_13,Cold stratified,-0.5,0,0,6,2,0
23,23_A,23_A_D,Semelparous,S1,S1_11,Not cold stratified,0,8,0,0,0,1
23,23_A,23_A_E,Iteroparous,I2,I2_5,Not cold stratified,-1,7,3,0,0,0
23,23_B,23_B_C,Iteroparous,I1,I1_16,Not cold stratified,-0.5,4,0,0,0,0
23,23_B,23_B_D,Iteroparous,I3,I3_10,Cold stratified,0,5,4,0,0,0
23,23_B,23_B_E,Semelparous,S2,S2_2,Not cold stratified,-1,0,8,0,0,0
24,24_A,24_A_A,Iteroparous,I1,I1_12,Not cold stratified,-0.5,8,1,0,0,1
24,24_A,24_A_B,Iteroparous,I3,I3_1,Cold stratified,-1,0,9,1,0,0
24,24_A,24_A_C,Semelparous,S1,S1_11,Cold stratified,-1,0,9,0,1,0
24,24_A,24_A_F,Iteroparous,I2,I2_10,Not cold stratified,-1,1,9,0,0,0
24,24_B,24_B_D,Semelparous,S3,S3_16,Not cold stratified,0,0,9,1,0,0
24,24_B,24_B_E,Semelparous,S2,S2_10,Not cold stratified,0,0,9,0,0,1
25,25_A,25_A_B,Iteroparous,I3,I3_15,Cold stratified,-1,0,7,2,0,2
25,25_A,25_A_E,Iteroparous,I1,I1_12,Cold stratified,-0.5,6,4,0,0,0
25,25_B,25_B_A,Semelparous,S2,S2_10,Not cold stratified,-1,0,8,0,1,0
25,25_B,25_B_B,Iteroparous,I2,I2_4,Not cold stratified,-0.5,8,0,0,0,0
25,25_B,25_B_C,Semelparous,S1,S1_2,Cold stratified,-1,0,7,2,0,1
25,25_B,25_B_F,Semelparous,S3,S3_15,Not cold stratified,-1,0,10,0,0,0
26,26_A,26_A_B,Iteroparous,I3,I3_19,Cold stratified,0,2,7,0,0,1
26,26_A,26_A_D,Semelparous,S2,S2_2,Cold stratified,-1,0,4,4,2,0
26,26_A,26_A_E,Semelparous,S3,S3_14,Not cold stratified,-1,0,6,3,0,1
26,26_B,26_B_B,Semelparous,S1,S1_8,Not cold stratified,0,0,0,0,0,7
26,26_B,26_B_D,Iteroparous,I1,I1_6,Cold stratified,-1,0,10,0,0,0
26,26_B,26_B_E,Iteroparous,I2,I2_5,Not cold stratified,-0.5,10,0,0,0,0
27,27_A,27_A_B,Iteroparous,I1,I1_4,Cold stratified,-1,0,5,0,0,4
27,27_A,27_A_D,Semelparous,S2,S2_1,Not cold stratified,0,2,6,0,1,1
27,27_A,27_A_E,Semelparous,S3,S3_16,Not cold stratified,-0.5,0,6,4,0,0
27,27_A,27_A_F,Semelparous,S1,S1_12,Not cold stratified,0,3,0,0,0,6
27,27_B,27_B_B,Iteroparous,I2,I2_1,Cold stratified,0,10,0,0,0,0
27,27_B,27_B_E,Iteroparous,I3,I3_10,Cold stratified,-1,0,5,2,1,1
28,28_A,28_A_A,Iteroparous,I2,I2_12,Not cold stratified,0,7,0,0,1,2
28,28_B,28_B_A,Semelparous,S1,S1_29,Cold stratified,-1,0,1,1,0,7
28,28_B,28_B_B,Semelparous,S3,S3_15,Not cold stratified,-0.5,0,8,2,0,0
28,28_B,28_B_D,Iteroparous,I3,I3_16,Not cold stratified,-0.5,2,7,0,1,0
28,28_B,28_B_E,Semelparous,S2,S2_6,Not cold stratified,-1,0,9,0,0,0
28,28_B,28_B_F,Iteroparous,I1,I1_19,Cold stratified,0,7,4,0,0,0
29,29_A,29_A_B,Semelparous,S3,S3_7,Cold stratified,0,10,0,0,0,0
29,29_A,29_A_C,Iteroparous,I2,I2_13,Cold stratified,0,10,0,0,0,0
29,29_A,29_A_D,Iteroparous,I3,I3_5,Not cold stratified,-1,0,3,1,1,0
29,29_B,29_B_A,Iteroparous,I1,I1_16,Not cold stratified,-1,0,7,0,0,1
29,29_B,29_B_B,Semelparous,S1,S1_10,Cold stratified,-0.5,3,0,1,0,5
29,29_B,29_B_F,Semelparous,S2,S2_3,Not cold stratified,-0.5,0,10,0,0,0
2,2_A,2_A_B,Semelparous,S1,S1_8,Not cold stratified,-0.5,0,0,0,0,10
2,2_A,2_A_E,Semelparous,S2,S2_1,Cold stratified,-1,0,8,1,0,0
2,2_B,2_B_A,Iteroparous,I2,I2_7,Cold stratified,0,9,0,0,0,0
2,2_B,2_B_B,Semelparous,S3,S3_13,Not cold stratified,-1,0,9,0,0,1
2,2_B,2_B_D,Iteroparous,I3,I3_5,Cold stratified,-1,0,2,0,0,2
2,2_B,2_B_F,Iteroparous,I1,I1_6,Not cold stratified,-1,0,8,0,0,1
30,30_A,30_A_B,Iteroparous,I1,I1_8,Cold stratified,0,8,0,0,0,0
30,30_A,30_A_C,Semelparous,S2,S2_10,Cold stratified,-0.5,5,2,0,2,3
30,30_A,30_A_F,Semelparous,S3,S3_15,Cold stratified,-1,1,2,2,3,3
30,30_B,30_B_A,Semelparous,S1,S1_10,Not cold stratified,-1,0,6,0,0,4
30,30_B,30_B_B,Iteroparous,I2,I2_11,Cold stratified,0,7,0,0,0,2
30,30_B,30_B_D,Iteroparous,I3,I3_16,Cold stratified,-1,0,4,3,3,0
31,31_A,31_A_B,Iteroparous,I2,I2_9,Cold stratified,-1,4,4,0,0,0
31,31_A,31_A_C,Iteroparous,I1,I1_16,Cold stratified,0,9,1,0,0,2
31,31_A,31_A_D,Iteroparous,I3,I3_13,Not cold stratified,-0.5,0,0,0,0,10
31,31_A,31_A_E,Semelparous,S1,S1_15,Not cold stratified,-1,9,0,0,0,0
31,31_B,31_B_B,Semelparous,S3,S3_20,Cold stratified,0,3,5,0,0,1
31,31_B,31_B_F,Semelparous,S2,S2_7,Cold stratified,-1,0,2,3,2,0
32,32_A,32_A_C,Iteroparous,I2,I2_13,Not cold stratified,0,10,0,0,0,0
32,32_A,32_A_D,Semelparous,S2,S2_6,Not cold stratified,-0.5,0,10,0,0,0
32,32_A,32_A_E,Iteroparous,I3,I3_15,Not cold stratified,-1,0,4,0,0,6
32,32_B,32_B_D,Iteroparous,I1,I1_2,Cold stratified,-0.5,0,8,0,0,0
32,32_B,32_B_E,Semelparous,S3,S3_2,Cold stratified,0,8,1,0,0,1
32,32_B,32_B_F,Semelparous,S1,S1_8,Not cold stratified,-1,0,0,0,0,9
33,33_A,33_A_B,Semelparous,S1,S1_11,Not cold stratified,-0.5,9,0,0,0,1
33,33_A,33_A_D,Iteroparous,I3,I3_13,Cold stratified,-0.5,0,0,0,0,9
33,33_B,33_B_A,Semelparous,S2,S2_5,Not cold stratified,-0.5,0,10,0,0,0
33,33_B,33_B_C,Semelparous,S3,S3_4,Cold stratified,0,9,0,0,0,1
33,33_B,33_B_D,Iteroparous,I2,I2_16,Not cold stratified,-1,0,10,0,0,0
33,33_B,33_B_E,Iteroparous,I1,I1_4,Cold stratified,0,5,2,1,0,2
34,34_A,34_A_A,Semelparous,S2,S2_3,Cold stratified,-1,0,9,0,0,0
34,34_A,34_A_B,Iteroparous,I2,I2_7,Cold stratified,-1,2,6,0,0,2
34,34_A,34_A_F,Semelparous,S1,S1_2,Cold stratified,0,7,0,0,1,3
34,34_B,34_B_C,Iteroparous,I1,I1_8,Not cold stratified,-1,0,9,0,0,0
34,34_B,34_B_D,Iteroparous,I3,I3_14,Not cold stratified,-1,0,5,0,0,5
34,34_B,34_B_E,Semelparous,S3,S3_7,Not cold stratified,0,5,5,1,1,0
35,35_A,35_A_B,Semelparous,S3,S3_11,Not cold stratified,0,4,10,0,0,0
35,35_A,35_A_D,Semelparous,S2,S2_5,Not cold stratified,-1,2,9,1,0,0
35,35_A,35_A_E,Iteroparous,I1,I1_18,Not cold stratified,-0.5,3,0,0,0,0
35,35_A,35_A_F,Semelparous,S1,S1_29,Not cold stratified,-0.5,2,0,1,0,0
35,35_B,35_B_B,Iteroparous,I2,I2_1,Not cold stratified,-0.5,5,0,0,0,0
35,35_B,35_B_D,Iteroparous,I3,I3_20,Cold stratified,-1,0,2,0,2,5
36,36_A,36_A_B,Semelparous,S3,S3_15,Cold stratified,-0.5,0,4,5,0,0
36,36_A,36_A_C,Iteroparous,I2,I2_16,Not cold stratified,0,10,0,0,0,0
36,36_A,36_A_D,Semelparous,S2,S2_5,Cold stratified,-1,0,5,3,0,0
36,36_B,36_B_A,Semelparous,S1,S1_10,Not cold stratified,0,2,0,0,0,6
36,36_B,36_B_D,Iteroparous,I3,I3_5,Cold stratified,-0.5,0,1,2,1,1
36,36_B,36_B_E,Iteroparous,I1,I1_18,Cold stratified,-0.5,2,7,0,0,1
37,37_A,37_A_B,Iteroparous,I1,I1_8,Not cold stratified,-0.5,9,2,0,0,0
37,37_B,37_B_A,Iteroparous,I2,I2_16,Cold stratified,-1,0,9,0,0,1
37,37_B,37_B_B,Semelparous,S2,S2_6,Cold stratified,-1,1,10,0,0,0
37,37_B,37_B_D,Semelparous,S3,S3_7,Cold stratified,-1,0,10,0,0,0
